line_number,node_index,x[m],y[m],z[m],node_type
1,0,5.2,0.0,-70.0,Fairlead
1,1,42.405859868021594,0.0,-95.50514960218447,Internal
1,2,80.29841310590882,0.0,-119.97827170593564,Internal
1,3,118.87269697576994,0.0,-143.3619006361157,Internal
1,4,158.1200685813625,0.0,-165.59707731078743,Internal
1,5,198.02781954883142,0.0,-186.6237299886036,Internal
1,6,238.57880811285986,0.0,-206.38113985891482,Internal
1,7,279.751124109181,0.0,-224.80849426355712,Internal
1,8,321.51780450113756,0.0,-241.84552690501687,Internal
1,9,363.8466185896251,0.0,-257.4332400648093,Internal
1,10,406.69994265023803,0.0,-271.5146987386538,Internal
1,11,450.03474308670894,0.0,-284.0358809291656,Internal
1,12,493.8026850111332,0.0,-294.946562499528,Internal
1,13,537.9503792888548,0.0,-304.20120949071224,Internal
1,14,582.4197755120338,0.0,-311.75984624315083,Internal
1,15,627.1487012936564,0.0,-317.58886467420325,Internal
1,16,672.071540137829,0.0,-321.661739218825,Internal
1,17,717.1200315927308,0.0,-323.95961365474045,Internal
1,18,762.2241692343521,0.0,-324.47173046148487,Internal
1,19,807.3131651196044,0.0,-323.1956803410858,Internal
1,20,853.87,0.0,-320.0,Anchor

2,0,-2.5999999999999988,4.503332099679081,-70.0,Fairlead
2,1,-21.202929934010786,36.72455191502973,-95.50514960218447,Internal
2,2,-40.14920655295439,69.54046563329435,-119.97827170593564,Internal
2,3,-59.43634848788494,102.94677539738639,-143.3619006361157,Internal
2,4,-79.06003429068122,136.93599623959759,-165.59707731078743,Internal
2,5,-99.01390977441567,171.49712238532868,-186.6237299886036,Internal
2,6,-119.28940405642987,206.61530863034957,-206.38113985891482,Internal
2,7,-139.87556205459043,242.27158021580408,-224.80849426355712,Internal
2,8,-160.7589022505687,278.44258646698387,-241.84552690501687,Internal
2,9,-181.92330929481247,315.10041477968275,-257.4332400648093,Internal
2,10,-203.34997132511893,352.21248205278044,-271.5146987386538,Internal
2,11,-225.01737154335436,389.74152009869323,-284.0358809291656,Internal
2,12,-246.90134250556648,427.6456696766066,-294.946562499528,Internal
2,13,-268.9751896444273,465.87869443962245,-304.20120949071224,Internal
2,14,-291.20988775601677,504.3903212598512,-311.75984624315083,Internal
2,15,-313.57435064682807,543.1267072707251,-317.58886467420325,Internal
2,16,-336.0357700689143,582.031026919893,-321.661739218825,Internal
2,17,-358.56001579636524,621.0441649220041,-323.95961365474045,Internal
2,18,-381.11208461717587,660.1054939354381,-324.47173046148487,Internal
2,19,-403.656582559802,699.1537098031986,-323.1956803410858,Internal
2,20,-426.93499999999983,739.4731115294187,-320.0,Anchor

3,0,-2.6000000000000023,-4.50333209967908,-70.0,Fairlead
3,1,-21.202929934010815,-36.724551915029714,-95.50514960218447,Internal
3,2,-40.149206552954446,-69.54046563329433,-119.97827170593564,Internal
3,3,-59.43634848788502,-102.94677539738636,-143.3619006361157,Internal
3,4,-79.06003429068132,-136.93599623959756,-165.59707731078743,Internal
3,5,-99.0139097744158,-171.49712238532865,-186.6237299886036,Internal
3,6,-119.28940405643003,-206.61530863034952,-206.38113985891482,Internal
3,7,-139.8755620545906,-242.27158021580402,-224.80849426355712,Internal
3,8,-160.75890225056892,-278.4425864669838,-241.84552690501687,Internal
3,9,-181.92330929481273,-315.1004147796827,-257.4332400648093,Internal
3,10,-203.34997132511918,-352.2124820527804,-271.5146987386538,Internal
3,11,-225.01737154335467,-389.7415200986932,-284.0358809291656,Internal
3,12,-246.90134250556682,-427.6456696766065,-294.946562499528,Internal
3,13,-268.97518964442764,-465.87869443962234,-304.20120949071224,Internal
3,14,-291.20988775601717,-504.3903212598511,-311.75984624315083,Internal
3,15,-313.57435064682846,-543.126707270725,-317.58886467420325,Internal
3,16,-336.03577006891476,-582.0310269198927,-321.661739218825,Internal
3,17,-358.56001579636575,-621.044164922004,-323.95961365474045,Internal
3,18,-381.1120846171764,-660.105493935438,-324.47173046148487,Internal
3,19,-403.65658255980253,-699.1537098031985,-323.1956803410858,Internal
3,20,-426.9350000000004,-739.4731115294185,-320.0,Anchor
